Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,pIC50,MW,LogP,NumHDonors,NumHAcceptors
286,CHEMBL114058,COc1cc(OC)c(CNc2ccc3nc(N)nc(N)c3c2)c(OC)c1,active,6.0,355.39800000000014,2.4321,3,8
287,CHEMBL115804,COc1ccc(CN(C)c2ccc3nc(N)nc(N)c3c2)c(OC)c1,active,7.886056647693163,339.3990000000001,2.4478,2,7
288,CHEMBL114354,CN(Cc1cccc2c1CCCC2)c1ccc2nc(N)nc(N)c2c1,active,8.267606240177031,333.439,3.3094,2,5
289,CHEMBL113999,COc1cc(CNc2ccc3nc(N)nc(N)c3c2)cc(OC)c1OC,active,6.638272163982407,355.39800000000014,2.4321,3,8
290,CHEMBL117750,COc1ccc(CN(C)c2ccc3nc(N)nc(N)c3c2)c(OC)c1OC,active,8.09151498112135,369.4250000000002,2.4564000000000004,2,8
291,CHEMBL116815,COc1cc(CNc2ccc3nc(N)nc(N)c3c2)cc(OC)c1,active,6.376750709602099,325.37200000000007,2.4235000000000007,3,7
292,CHEMBL116637,COc1ccc(CNc2ccc3nc(N)nc(N)c3c2)c(OC)c1OC,active,6.3872161432802645,355.39800000000014,2.4321,3,8
293,CHEMBL116816,COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2)c1,active,6.376750709602099,325.37200000000007,2.4234999999999998,3,7
294,CHEMBL113816,COc1cc(CN(C)c2ccc3nc(N)nc(N)c3c2)cc(OC)c1,active,8.55284196865778,339.3990000000001,2.4478,2,7
295,CHEMBL115474,Nc1nc(N)c2cc(NCc3ccccc3)ccc2n1,active,6.292429823902063,265.32,2.4063000000000008,3,5
296,CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,active,8.0,369.4250000000001,2.740520000000001,3,8
297,CHEMBL114833,COc1cc(OC)c(OC)cc1CNc1ccc2nc(N)nc(N)c2c1,active,6.853871964321762,355.39800000000014,2.4321,3,8
298,CHEMBL57318,Cc1cc(N(C)C)nc2c(C)cc(Cc3cnc(N)nc3N)cc12,active,8.113509274827518,322.41600000000005,2.46284,2,6
299,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,8.301029995663981,290.32300000000004,1.2575999999999998,2,7
300,CHEMBL291721,Cc1cc(N(C)C)nc2ccc(Cc3cnc(N)nc3N)cc12,active,7.481486060122112,308.38900000000007,2.15442,2,6
301,CHEMBL58366,COc1cc(Cc2cnc(N)nc2N)cc2c(N(C)C)cc(C)nc12,active,7.455931955649724,338.4150000000001,2.1630199999999995,2,7
302,CHEMBL56325,Cc1cc(N2CCOCC2)nc2cc(Cc3cnc(N)nc3N)ccc12,active,7.055517327849832,350.4260000000001,1.9250199999999995,2,7
303,CHEMBL294377,COc1cc(C)c2ccc(Cc3cnc(N)nc3N)cc2n1,active,6.958607314841775,295.346,2.0970199999999997,2,6
304,CHEMBL412659,Cc1cc(N2CCOCC2)nc2c(C)cc(Cc3cnc(N)nc3N)cc12,active,8.1249387366083,364.4530000000001,2.23344,2,7
305,CHEMBL294655,CCCCCc1cc(OC)c2cc(Cc3cnc(N)nc3N)cc(OC)c2n1,active,8.698970004336019,381.48000000000013,3.5299000000000005,2,7
306,CHEMBL60486,COc1cc(C)c2cc(Cc3cnc(N)nc3N)cc(C)c2n1,active,8.2839966563652,309.37300000000005,2.4054400000000005,2,6
307,CHEMBL56719,COc1cc(C)nc2c(OC)cc(Cc3cnc(N)nc3N)cc12,active,8.508638306165727,325.37200000000007,2.10562,2,7
308,CHEMBL150683,CCc1cc(Cc2c(N)nc(N)nc2SC)cc(CC)c1OC,inactive,4.3979400086720375,332.4730000000001,3.0871000000000013,2,6
310,CHEMBL150248,COc1cc(Cc2c(N)nc(N)nc2-c2ccccc2)cc(OC)c1O,intermediate,5.698970004336019,352.3940000000001,2.6216000000000013,3,7
311,CHEMBL439995,COc1c(C(C)(C)C)cc(Cc2c(N)nc(N)nc2N)cc1C(C)(C)C,inactive,4.221848749616356,357.5020000000001,3.417600000000002,3,6
312,CHEMBL150700,COc1cc(Cc2c(N)nc(N)nc2OC)cc(OC)c1OC,inactive,3.3467874862246565,320.3490000000001,1.2661999999999998,2,8
313,CHEMBL2092925,C/C(=C\c1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,inactive,4.958607314841775,439.42800000000017,1.9954999999999996,5,8
314,CHEMBL150017,COc1cc(Cc2c(N)nc(N)nc2N(C)C)cc(OC)c1OC,inactive,2.346787486224656,333.3920000000001,1.3235999999999994,2,8
315,CHEMBL1237205,C/C(=C/c1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1.C/C(=C\c1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,intermediate,5.958607314841775,878.8559999999998,3.9910000000000014,10,16
316,CHEMBL19633,COc1ccc(Cc2cnc(N)nc2N)cc1OC,active,7.0,260.29699999999997,1.2489999999999999,2,6
317,CHEMBL346871,COc1cc2c(cc1OC)C(c1cnc(N)nc1N)CC2,intermediate,5.853871964321762,286.3350000000001,1.7362999999999997,2,6
318,CHEMBL430872,CC(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,intermediate,5.958607314841775,441.4440000000002,1.7811999999999997,5,8
319,CHEMBL339058,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1O,active,6.522878745280337,290.32300000000004,1.2630199999999998,3,7
320,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,active,8.045757490560675,454.44700000000023,0.2684000000000012,5,10
321,CHEMBL358879,COc1cc(Cc2c(N)nc(N)nc2-c2ccccc2)cc(OC)c1OC,intermediate,5.522878745280337,366.42100000000016,2.9246000000000016,2,7
322,CHEMBL150543,CCCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,intermediate,5.823908740944319,332.40400000000005,2.2100999999999997,2,7
323,CHEMBL149353,CCCc1nc(N)nc(N)c1Cc1cc(OC)c(O)c(OC)c1,active,6.096910013008056,318.377,1.9070999999999998,3,7
324,CHEMBL357960,COc1cc(Cc2c(N)nc(N)nc2C(C)C)cc(OC)c1OC,intermediate,5.698970004336019,332.4040000000001,2.3810000000000002,2,7
325,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,8.301029995663981,290.32300000000004,1.2575999999999998,2,7
326,CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,active,7.0,304.3500000000001,1.5660199999999997,2,7
327,CHEMBL150538,COc1cc(Cc2c(N)nc(N)nc2SC)cc(OC)c1OC,inactive,3.3467874862246565,336.41700000000014,1.9794999999999998,2,8
328,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,8.154901959985743,290.32300000000004,1.2575999999999998,2,7
329,CHEMBL149408,COc1cc(Cc2c(N)nc(N)nc2N)cc(OC)c1OC,inactive,5.0,305.3380000000001,0.8398000000000003,3,8
330,CHEMBL150863,COc1cc(Cc2c(N)nc(N)nc2Oc2ccccc2)cc(OC)c1OC,inactive,4.346787486224656,382.42000000000013,3.049900000000001,2,8
331,CHEMBL19227,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)c(F)c3)cnc2n1,active,8.0,458.41000000000025,0.3831999999999992,6,10
332,CHEMBL85364,N#Cc1cc(Cl)ccc1N/C(N)=N/C(=N)N,active,6.494850021680094,236.666,0.8317499999999998,4,2
333,CHEMBL85364,N#Cc1cc(Cl)ccc1N/C(N)=N/C(=N)N,active,6.2076083105017466,236.666,0.8317499999999998,4,2
334,CHEMBL82825,CC1CC2N=C(N)N=C(N)C2CC1C,active,6.102372908709558,194.28199999999998,0.7227000000000002,2,4
335,CHEMBL82825,CC1CC2N=C(N)N=C(N)C2CC1C,intermediate,5.6777807052660805,194.28199999999998,0.7227000000000002,2,4
336,CHEMBL82985,CC1CCC2C(N)=NC(N)=NC2C1,inactive,4.958607314841775,180.255,0.47669999999999985,2,4
337,CHEMBL82985,CC1CCC2C(N)=NC(N)=NC2C1,inactive,4.619788758288394,180.255,0.47669999999999985,2,4
338,CHEMBL376180,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,active,7.958607314841775,440.42000000000024,0.24409999999999987,6,10
339,CHEMBL19023,COc1ccc(Cc2cnc(N)nc2N)cc1,active,6.301029995663981,230.271,1.2403999999999997,2,5
340,CHEMBL310759,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,active,6.494850021680094,302.79,3.5988000000000007,2,5
341,CHEMBL310759,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,active,6.292429823902063,302.79,3.5988000000000007,2,5
342,CHEMBL19633,COc1ccc(Cc2cnc(N)nc2N)cc1OC,active,7.301029995663981,260.29699999999997,1.2489999999999999,2,6
343,CHEMBL80014,CCCCCCCc1c(O)nc2ccccc2c1O,inactive,4.318758762624412,259.349,4.158900000000004,2,3
344,CHEMBL80014,CCCCCCCc1c(O)nc2ccccc2c1O,inactive,3.9208187539523753,259.349,4.158900000000004,2,3
345,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,7.7447274948966935,290.32300000000004,1.2575999999999998,2,7
346,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,7.431798275933005,290.32300000000004,1.2575999999999998,2,7
347,CHEMBL57582,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1CC,active,8.0,284.40700000000004,2.9190000000000014,2,4
348,CHEMBL1160541,Cc1cc(CNC(=N)/N=C(/N)S)c(C)cc1CNC(=N)CC(=N)S,active,6.962573502059376,365.53200000000004,1.9363499999999996,8,3
349,CHEMBL1160541,Cc1cc(CNC(=N)/N=C(/N)S)c(C)cc1CNC(=N)CC(=N)S,active,6.519993057042849,365.53200000000004,1.9363499999999996,8,3
350,CHEMBL310759,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,active,6.3979400086720375,302.79,3.5988000000000007,2,5
351,CHEMBL310759,Nc1nc(N)c2c(Sc3ccc(Cl)cc3)cccc2n1,active,6.0,302.79,3.5988000000000007,2,5
352,CHEMBL83547,Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,active,6.508638306165727,282.372,3.25382,2,5
353,CHEMBL83547,Cc1ccc(Sc2cccc3nc(N)nc(N)c23)cc1,active,6.086186147616283,282.372,3.25382,2,5
354,CHEMBL293013,CCc1ccc(Cc2cnc(N)nc2N)cc1CC,active,7.045757490560675,256.35299999999995,2.3566000000000003,2,4
355,CHEMBL18925,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3F)cnc2n1,active,8.301029995663981,458.41000000000025,0.3831999999999992,6,10
356,CHEMBL309713,Nc1nc(N)[n+](-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1,inactive,4.958607314841775,300.29200000000003,1.8628999999999998,2,4
357,CHEMBL309713,Nc1nc(N)[n+](-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1,inactive,4.795880017344075,300.29200000000003,1.8628999999999998,2,4
358,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,8.301029995663981,290.32300000000004,1.2575999999999998,2,7
359,CHEMBL61287,CC(C)c1ccc(Cc2cnc(N)nc2N)cc1,intermediate,5.958607314841775,242.326,2.3552,2,4
360,CHEMBL59703,CC(C)(C)c1ccc(Cc2cnc(N)nc2N)cc1,active,6.3979400086720375,256.35299999999995,2.5293,2,4
361,CHEMBL82334,Cc1ccc(Oc2cccc3nc(N)nc(N)c23)cc1,active,6.721246399047171,266.304,2.894919999999999,2,5
362,CHEMBL82334,Cc1ccc(Oc2cccc3nc(N)nc(N)c23)cc1,active,6.376750709602099,266.304,2.894919999999999,2,5
363,CHEMBL60883,CCc1ccc(Cc2cnc(N)nc2N)cc1C(C)C,active,6.552841968657781,270.38,2.917600000000001,2,4
364,CHEMBL60029,CCc1ccc(Cc2cnc(N)nc2N)cc1,active,6.187086643357144,228.29899999999998,1.7941999999999998,2,4
365,CHEMBL84108,Nc1nc(N)c2c(OCc3ccc(C(F)(F)F)cc3)cccc2n1,active,6.180456064458132,334.301,3.3920000000000012,2,5
366,CHEMBL84108,Nc1nc(N)c2c(OCc3ccc(C(F)(F)F)cc3)cccc2n1,intermediate,5.958607314841775,334.301,3.3920000000000012,2,5
367,CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,active,7.0,304.3500000000001,1.5660199999999997,2,7
368,CHEMBL32113,COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,active,6.853871964321762,340.38700000000006,1.8427999999999998,2,8
369,CHEMBL134561,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,active,8.154901959985743,354.4100000000001,2.4332000000000003,2,7
370,CHEMBL32708,COc1ccc(OC)c(CNc2cnc3nc(N)nc(N)c3c2)c1,active,6.886056647693163,326.36000000000007,1.8184999999999998,3,8
371,CHEMBL33045,Nc1nc(N)c2cc(NCc3ccc(C(=O)NC(=O)[C@H](N)CCC(=O)O)cc3)cnc2n1,active,7.886056647693163,438.4480000000002,0.24980000000000063,6,10
372,CHEMBL340759,COc1cc(Cc2c[n+](C)c(N)nc2N)cc(OC)c1OC.[I-],intermediate,5.494850021680094,432.26200000000006,-2.308899999999997,2,6
373,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,8.301029995663981,290.32300000000004,1.2575999999999998,2,7
374,CHEMBL32266,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1,intermediate,5.853871964321762,326.36000000000007,1.8184999999999996,3,8
375,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,active,8.154901959985743,290.32300000000004,1.2575999999999998,2,7
376,CHEMBL1181,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,active,7.958607314841775,276.296,0.9545999999999997,3,7
377,CHEMBL339058,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1O,active,6.522878745280337,290.32300000000004,1.2630199999999998,3,7
378,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,active,8.657577319177793,454.44700000000023,0.2684000000000012,5,10
379,CHEMBL33815,CN(Cc1ccc(C(=O)NC(=O)[C@H](N)CCC(=O)O)cc1)c1cnc2nc(N)nc(N)c2c1,active,7.886056647693163,452.47500000000014,0.2741000000000009,5,10
380,CHEMBL33208,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC,active,6.119186407719209,356.38600000000014,1.8270999999999997,3,9
